x,y,z,total_cost_mean,total_cost_se,deviation_mean,deviation_se,total_cost_n
1.0,0.0,0.75,7856.134032483517,12.726536627262517,1980.2688888888888,11.81526162499255,300
1.0,0.0,1.0,8406.72646933694,12.763417951612395,1387.0155555555557,12.088611033459514,300
1.0,0.0,1.25,8885.67479170839,12.930687640217716,849.1355555555555,12.31497535901849,300
1.0,0.0,1.5,9292.978268208955,13.026800289235936,392.9555555555556,7.458262133872617,300
1.0,0.0,1.75,9627.251956003702,13.034000475035848,495.88888888888886,12.354937773454655,300
1.0,0.0,2.0,9902.203732016247,12.981131702668522,836.28,12.007335195670054,300
1.0,0.25,0.0,6171.639156679023,12.851731056949037,2862.782222222222,8.86819543702445,300
1.0,0.5,0.0,6445.753255764869,12.901612929865486,2879.1155555555556,9.1865012227347,300
1.0,0.75,0.0,6715.971368827987,12.964165500559632,2895.782222222222,9.498059020989066,300
1.0,1.0,0.0,6980.2073097620705,12.970141780764491,2928.3488888888887,10.037515862776356,300
1.0,1.25,0.0,7236.094609425568,12.910763464154263,2961.2355555555555,10.279786591678494,300
1.0,1.5,0.0,7480.919695673208,12.82582073536544,3008.0955555555556,11.07382987484224,300
1.0,1.75,0.0,7708.666264336914,12.711277549586738,3077.922222222222,11.904300866654385,300
1.0,2.0,0.0,7907.057652663902,12.575112637115357,3188.742222222222,12.341014038859578,300
1.25,0.0,0.0,5930.482117066692,9.195119559661856,2945.748888888889,5.907656092829032,600
1.25,0.0,0.25,6632.302382621521,13.086714289815445,2833.9688888888886,8.7357953492983,300
1.25,0.0,0.5,7316.483910400998,13.151367142332404,2654.0955555555556,9.071766888195501,300
1.25,0.0,0.75,7972.6220385439365,13.13142385900151,2384.6133333333332,10.894266355075729,300
1.25,0.0,1.0,8586.500865072461,13.12783274553995,1947.5733333333333,11.697811403267238,300
1.25,0.0,1.25,9131.528094346306,13.18301778460605,1331.6777777777777,12.040746075023309,300
1.25,0.0,1.5,9602.062773578771,13.359864925332209,774.4777777777778,12.121219960331011,300
1.25,0.0,1.75,9992.217968128738,13.419806601656965,289.0555555555556,8.632562150292662,300
1.25,0.0,2.0,10302.228370394128,13.392709329002669,516.5822222222222,10.744159974129776,300
1.25,0.25,0.0,6210.138523550895,13.075314486477792,2965.4688888888886,8.359679377806504,300
1.25,0.5,0.0,6485.796272359388,13.13659046184759,2983.2755555555555,8.708132158870471,300
1.25,0.75,0.0,6757.837327772108,13.207998904028065,3001.728888888889,9.004386501857054,300
1.25,1.0,0.0,7024.760920379623,13.242646355270837,3036.9955555555553,9.72556742024933,300
1.25,1.25,0.0,7284.563807158821,13.225633648832284,3078.3355555555554,10.381688086466026,300
1.25,1.5,0.0,7535.038417721507,13.151380964827803,3130.248888888889,11.089425181530611,300
1.25,1.75,0.0,7772.358300228156,13.041948508159123,3206.608888888889,11.94261719726707,300
1.25,2.0,0.0,7988.327247835727,12.896046302191255,3327.7955555555554,12.31416767640326,300
1.5,0.0,0.0,5953.643014544097,9.341667234419466,3009.628888888889,5.666720140432427,600
1.5,0.0,0.25,6664.850574208334,13.26883112841568,2922.4955555555553,8.363412748040552,300
1.5,0.0,0.5,7363.242406945135,13.363439431710557,2799.268888888889,8.523731183849048,300
1.5,0.0,0.75,8042.6130282064605,13.436398611924833,2614.2155555555555,9.598542262218876,300
1.5,0.0,1.0,8692.671099191282,13.464060655610698,2329.3977777777777,10.893659197468914,300
1.5,0.0,1.25,9296.99603467656,13.484556053384702,1864.8755555555554,10.849349917914704,300
1.5,0.0,1.5,9826.465955774718,13.608845216392265,1273.588888888889,10.167885146485487,300
1.5,0.0,1.75,10266.723106125164,13.75964689931927,873.34,10.301393192040324,300
1.5,0.0,2.0,10614.253397206268,13.806535613056667,829.2444444444445,12.700366028030997,300
1.5,0.25,0.0,6236.217527658369,13.315415514127375,3035.535555555555,7.8731669497249825,300
1.5,0.5,0.0,6513.4757647868255,13.381951980006976,3056.708888888889,8.206048289101187,300
1.5,0.75,0.0,6786.89300453497,13.465226997416828,3076.2555555555555,8.445731165047752,300
1.5,1.0,0.0,7055.451635630527,13.507180370683837,3112.9355555555553,9.201564447972165,300
1.5,1.25,0.0,7317.57637081666,13.506941472437283,3157.742222222222,9.836847975003115,300
1.5,1.5,0.0,7571.228445789536,13.45212024493898,3212.2755555555555,10.542871076805234,300
1.5,1.75,0.0,7813.637350635961,13.351024147405267,3293.6555555555556,11.55534464761936,300
1.5,2.0,0.0,8038.343279608736,13.205064128219936,3422.1955555555555,12.144024876620277,300
1.75,0.0,0.0,5968.48632698768,9.454911810989904,3052.002222222222,5.558231000372395,600
1.75,0.0,0.25,6685.624361546628,13.432374805509319,2979.891111111111,8.118381818915287,300
1.75,0.0,0.5,7392.552126790103,13.506184802903132,2879.9244444444444,8.135275260451733,300
1.75,0.0,0.75,8084.808575652645,13.601840901027993,2745.7155555555555,8.861934062101168,300
1.75,0.0,1.0,8756.112125132337,13.689555971933588,2539.7533333333336,9.451011579122,300
1.75,0.0,1.25,9393.390822914896,13.727884642442824,2235.108888888889,9.859278169238113,300
1.75,0.0,1.5,9977.43183841618,13.844239876605593,1815.837777777778,8.88654258424118,300
1.75,0.0,1.75,10468.303420440414,13.966787341839682,1356.748888888889,8.942170605906266,300
1.75,0.0,2.0,10849.468995267165,14.059224264559539,1173.6466666666668,10.858575738237938,300
